federal_district,region,Название_полигона,Вид_организации,area_km2,population,Количество_организаций,density_per_1000km2,density_per_100k
Центральный,Брянская обл,Брянская,СРО Сельскохозяйственных кредитных потребительских кооперативов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Общества взаимного страхования,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Центральный депозитарий,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Репозитарии,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Акционерные инвестиционные фонды,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Центральные контрагенты,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Негосударственных пенсионных фондов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Саморегулируемые организации актуариев,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Инвестиционных советников,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Кредитные рейтинговые агентства ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Форекс-дилеры,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Страховых брокеров,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Кредитных потребительских кооперативов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО акционерных инвестиционных фондов и управляющих компаний ИФ ПИФ и НПФ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Брокеров,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Дилеров,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Регистраторов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы обмена цифровых финансовых активов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Форекс-дилеров,34857.0,1142404.0,0,0.0,0.0
